Timestamp,Page_Name,Network_Type,Page_Load_Time_ms,Perceived_Load_Time_ms,LCP_ms,API_Latency_ms,API_Measured,Total_Page_Size_KB,Scenario,Commit_ID,Is_Regression
2026-02-18 12:00:03,Products,4G,1922.36,2472.16,389.9,38.34,1,743.91,baseline,clean_baseline,0
2026-02-18 12:00:04,About,3G,8597.9,8597.9,863.47,,0,735.19,baseline,clean_baseline,0
2026-02-18 12:00:10,Homepage,3G,8531.0,9119.96,782.39,154.29,1,753.02,baseline,clean_baseline,0
2026-02-18 12:00:15,About,4G,2018.46,2018.46,531.15,,0,735.25,baseline,clean_baseline,0
2026-02-18 12:00:22,Homepage,4G,2370.85,2873.99,526.47,45.56,1,752.94,baseline,clean_baseline,0
2026-02-18 12:00:24,About,WiFi,429.79,429.79,407.79,,0,735.22,baseline,clean_baseline,0
2026-02-18 12:00:26,Homepage,3G,8946.85,9633.19,964.18,195.59,1,753.07,baseline,clean_baseline,0
2026-02-18 12:00:27,About,WiFi,294.3,294.3,357.75,,0,735.17,baseline,clean_baseline,0
2026-02-18 12:00:34,Products,4G,1897.14,2534.38,530.03,43.64,1,744.09,baseline,clean_baseline,0
2026-02-18 12:00:40,Products,4G,1958.19,2663.07,544.54,48.59,1,744.0,baseline,clean_baseline,0
2026-02-18 12:00:47,About,3G,8777.41,8777.41,913.06,,0,735.17,baseline,clean_baseline,0
2026-02-18 12:00:49,About,3G,8678.03,8678.03,944.63,,0,735.23,baseline,clean_baseline,0
2026-02-18 12:00:56,Products,4G,2159.55,2727.54,569.45,47.31,1,744.06,baseline,clean_baseline,0
2026-02-18 12:01:02,Homepage,4G,2060.45,2505.34,364.16,15.81,1,753.02,baseline,clean_baseline,0
2026-02-18 12:01:04,About,3G,8819.38,8819.38,755.38,,0,735.18,baseline,clean_baseline,0
2026-02-18 12:01:10,Homepage,4G,2246.7,2883.42,510.96,44.98,1,753.11,baseline,clean_baseline,0
2026-02-18 12:01:12,Products,WiFi,535.72,976.54,309.84,6.93,1,743.99,baseline,clean_baseline,0
2026-02-18 12:01:18,About,WiFi,489.3,489.3,328.05,,0,735.23,baseline,clean_baseline,0
2026-02-18 12:01:19,Products,3G,8629.3,9079.33,850.44,197.34,1,744.01,baseline,clean_baseline,0
2026-02-18 12:01:24,About,3G,8439.6,8439.6,959.42,,0,735.19,baseline,clean_baseline,0
2026-02-18 12:01:29,About,4G,2079.89,2079.89,567.8,,0,735.15,baseline,clean_baseline,0
2026-02-18 12:01:32,Homepage,4G,2041.31,2514.92,584.13,50.06,1,753.02,baseline,clean_baseline,0
2026-02-18 12:01:39,Products,4G,1945.53,2707.02,511.03,56.83,1,744.04,baseline,clean_baseline,0
2026-02-18 12:01:41,About,4G,2236.67,2236.67,533.42,,0,735.21,baseline,clean_baseline,0
2026-02-18 12:01:47,About,WiFi,534.54,534.54,389.15,,0,735.22,baseline,clean_baseline,0
2026-02-18 12:01:51,About,WiFi,512.89,512.89,328.95,,0,735.19,baseline,clean_baseline,0
2026-02-18 12:01:55,Homepage,WiFi,520.36,1130.86,403.81,6.25,1,753.03,baseline,clean_baseline,0
2026-02-18 12:02:01,Homepage,4G,2068.19,2519.23,465.91,40.99,1,753.07,baseline,clean_baseline,0
2026-02-18 12:02:03,Homepage,3G,8444.74,9056.71,864.7,178.26,1,752.99,baseline,clean_baseline,0
2026-02-18 12:02:09,Homepage,3G,8784.97,9124.17,888.44,197.32,1,753.02,baseline,clean_baseline,0
2026-02-18 12:02:16,Homepage,WiFi,258.37,903.39,382.52,9.09,1,753.0,baseline,clean_baseline,0
2026-02-18 12:02:23,Products,3G,8750.69,9300.55,814.97,174.44,1,744.02,baseline,clean_baseline,0
2026-02-18 12:02:28,Homepage,3G,8560.56,9207.95,932.51,165.9,1,753.03,baseline,clean_baseline,0
2026-02-18 12:02:35,Products,3G,8874.64,9370.88,869.17,167.82,1,743.96,baseline,clean_baseline,0
2026-02-18 12:02:42,About,4G,1827.99,1827.99,566.25,,0,735.16,baseline,clean_baseline,0
2026-02-18 12:02:47,About,WiFi,495.51,495.51,387.68,,0,735.27,baseline,clean_baseline,0
2026-02-18 12:02:51,Products,3G,9068.0,9662.48,873.49,187.37,1,744.02,baseline,clean_baseline,0
2026-02-18 12:02:54,Homepage,3G,8661.58,9147.14,990.86,207.64,1,752.98,baseline,clean_baseline,0
2026-02-18 12:02:55,Homepage,WiFi,391.36,925.61,411.85,6.85,1,753.07,baseline,clean_baseline,0
2026-02-18 12:02:56,Homepage,3G,8421.35,8994.02,839.36,166.74,1,752.92,baseline,clean_baseline,0
2026-02-18 12:02:59,About,WiFi,857.11,857.11,338.94,,0,735.24,baseline,clean_baseline,0
2026-02-18 12:03:01,Products,WiFi,549.25,1108.08,369.41,7.12,1,744.02,baseline,clean_baseline,0
2026-02-18 12:03:06,About,4G,1748.34,1748.34,447.38,,0,735.22,baseline,clean_baseline,0
2026-02-18 12:03:07,Homepage,3G,8630.82,9198.86,806.35,200.9,1,753.0,baseline,clean_baseline,0
2026-02-18 12:03:14,About,3G,9006.57,9006.57,1002.13,,0,735.21,baseline,clean_baseline,0
2026-02-18 12:03:17,Products,WiFi,636.84,1234.71,466.94,8.23,1,744.06,baseline,clean_baseline,0
2026-02-18 12:03:22,Products,WiFi,388.32,1042.6,429.05,5.41,1,743.93,baseline,clean_baseline,0
2026-02-18 12:03:24,Products,4G,2151.24,2729.6,629.24,35.78,1,743.99,baseline,clean_baseline,0
2026-02-18 12:03:26,About,WiFi,529.48,529.48,459.36,,0,735.19,baseline,clean_baseline,0
2026-02-18 12:03:28,About,WiFi,562.24,562.24,310.8,,0,735.21,baseline,clean_baseline,0
2026-02-18 12:03:29,About,3G,8512.55,8512.55,838.78,,0,735.19,baseline,clean_baseline,0
2026-02-18 12:03:31,Products,WiFi,487.58,869.79,503.99,6.51,1,744.0,baseline,clean_baseline,0
2026-02-18 12:03:37,Homepage,4G,1952.65,2668.61,498.85,43.68,1,753.07,baseline,clean_baseline,0
2026-02-18 12:03:41,About,WiFi,527.4,527.4,382.61,,0,735.2,baseline,clean_baseline,0
2026-02-18 12:03:47,Products,3G,9129.7,9681.15,651.24,174.14,1,743.9,baseline,clean_baseline,0
2026-02-18 12:03:48,Homepage,4G,2124.22,2816.94,568.39,53.15,1,752.98,baseline,clean_baseline,0
2026-02-18 12:03:51,About,3G,8940.66,8940.66,884.54,,0,735.18,baseline,clean_baseline,0
2026-02-18 12:03:55,Homepage,WiFi,603.74,957.67,387.74,9.95,1,753.0,baseline,clean_baseline,0
2026-02-18 12:03:57,Homepage,4G,1786.33,2297.66,518.2,32.94,1,752.99,baseline,clean_baseline,0
2026-02-18 12:04:01,About,3G,8484.79,8484.79,1081.17,,0,735.25,baseline,clean_baseline,0
2026-02-18 12:04:02,Products,4G,1934.56,2444.75,471.05,44.06,1,743.9,baseline,clean_baseline,0
2026-02-18 12:04:04,About,3G,8678.79,8678.79,715.98,,0,735.18,baseline,clean_baseline,0
2026-02-18 12:04:07,Homepage,3G,8791.55,9261.53,897.57,202.09,1,752.93,baseline,clean_baseline,0
2026-02-18 12:04:12,About,WiFi,595.94,595.94,379.26,,0,735.16,baseline,clean_baseline,0
2026-02-18 12:04:19,Products,WiFi,563.84,1194.44,422.91,10.06,1,743.99,baseline,clean_baseline,0
2026-02-18 12:04:22,Products,WiFi,489.2,940.96,432.51,10.92,1,744.1,baseline,clean_baseline,0
2026-02-18 12:04:27,About,4G,2267.29,2267.29,476.5,,0,735.16,baseline,clean_baseline,0
2026-02-18 12:04:32,About,3G,8578.45,8578.45,897.82,,0,735.2,baseline,clean_baseline,0
2026-02-18 12:04:39,About,3G,8531.45,8531.45,795.89,,0,735.17,baseline,clean_baseline,0
2026-02-18 12:04:40,Products,WiFi,793.8,1328.92,400.83,6.02,1,744.04,baseline,clean_baseline,0
2026-02-18 12:04:47,About,3G,8037.07,8037.07,735.98,,0,735.15,baseline,clean_baseline,0
2026-02-18 12:04:54,About,4G,1595.04,1595.04,468.28,,0,735.24,baseline,clean_baseline,0
2026-02-18 12:05:00,About,4G,2232.3,2232.3,564.66,,0,735.22,baseline,clean_baseline,0
2026-02-18 12:05:07,Homepage,3G,8474.78,9080.73,907.16,173.47,1,753.04,baseline,clean_baseline,0
2026-02-18 12:05:13,About,WiFi,454.05,454.05,301.41,,0,735.16,baseline,clean_baseline,0
2026-02-18 12:05:15,Homepage,WiFi,530.38,1126.02,402.89,7.05,1,752.96,baseline,clean_baseline,0
2026-02-18 12:05:17,Products,WiFi,706.23,1213.75,469.39,10.37,1,743.95,baseline,clean_baseline,0
2026-02-18 12:05:23,Homepage,4G,2188.08,2772.64,544.08,30.54,1,752.98,baseline,clean_baseline,0
2026-02-18 12:05:26,About,4G,2174.11,2174.11,631.01,,0,735.18,baseline,clean_baseline,0
2026-02-18 12:05:30,Products,3G,8775.49,9321.64,794.71,200.49,1,743.97,baseline,clean_baseline,0
2026-02-18 12:05:31,About,WiFi,462.13,462.13,449.95,,0,735.2,baseline,clean_baseline,0
2026-02-18 12:05:38,Products,4G,2143.24,2667.99,513.17,44.08,1,744.0,baseline,clean_baseline,0
2026-02-18 12:05:45,Homepage,WiFi,598.03,1118.03,421.55,9.9,1,753.08,baseline,clean_baseline,0
2026-02-18 12:05:52,Homepage,WiFi,564.77,1244.37,336.35,5.8,1,753.0,baseline,clean_baseline,0
2026-02-18 12:05:56,Homepage,4G,1960.75,2632.38,611.62,28.89,1,752.89,baseline,clean_baseline,0
2026-02-18 12:06:03,About,3G,8715.12,8715.12,882.54,,0,735.16,baseline,clean_baseline,0
2026-02-18 12:06:10,Homepage,4G,2360.63,2925.12,589.45,41.49,1,753.01,baseline,clean_baseline,0
2026-02-18 12:06:16,Homepage,3G,8167.7,8651.56,883.19,153.49,1,753.04,baseline,clean_baseline,0
