Timestamp,Page_Name,Network_Type,Page_Load_Time_ms,LCP_ms,API_Latency_ms,Total_Page_Size_KB,Scenario,Commit_ID,Is_Regression
2026-02-18 09:49:09,Products,4G,1766,292,79.8,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:10,Products,WiFi,499,136,13.2,743.85,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:19,About,3G,8407.9,688,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:28,Products,3G,8526.5,680,161.7,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:37,Products,3G,8513.4,656,165.8,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:40,Homepage,4G,2537.5,588,0,753.37,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:41,Products,WiFi,258.5,116,8.8,743.83,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:50,About,3G,8385.8,672,0,735.08,client_cpu_block,bad_use_effect,1
2026-02-18 09:49:59,Products,3G,8561.1,648,174.6,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:00,Products,WiFi,247.7,84,6.7,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:01,About,WiFi,243,100,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:10,About,3G,8390.6,652,0,735.06,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:12,Homepage,4G,2266.5,332,0,750.81,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:22,Homepage,3G,9041.8,796,127.8,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:24,About,4G,1694.1,268,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:26,Products,4G,1754.7,272,49.9,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:27,Products,WiFi,337.5,116,10.1,743.83,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:37,Products,3G,8535.6,636,163,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:39,Products,4G,1869,304,43.8,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:40,Products,WiFi,499.9,180,13.5,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:49,About,3G,8439.3,668,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:58,About,3G,8397.2,664,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:50:59,About,WiFi,260.2,92,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:02,Homepage,4G,2288.8,324,49.9,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:04,About,4G,1673.6,264,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:05,Homepage,WiFi,299.3,136,0,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:14,About,3G,8398.5,676,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:15,Products,WiFi,257.7,112,10.8,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:16,Homepage,WiFi,535.7,156,0,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:18,Homepage,WiFi,477,204,0,753.37,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:27,Homepage,3G,8958,692,142.8,753.37,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:30,Homepage,4G,2326.6,332,0,750.79,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:32,About,4G,1682.9,268,0,735.08,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:33,Products,WiFi,303.9,156,7.2,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:42,Products,3G,8541.1,688,199.3,743.83,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:44,About,4G,1686.2,276,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:47,Products,4G,1705.9,264,46.1,743.83,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:48,About,WiFi,381.4,136,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:57,About,3G,8394.2,660,0,735.06,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:58,Products,WiFi,324.7,108,8.3,743.85,client_cpu_block,bad_use_effect,1
2026-02-18 09:51:58,Homepage,WiFi,310,152,0,753.37,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:01,Homepage,4G,2259.9,308,51.1,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:04,Products,4G,1701.5,268,41,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:06,About,4G,1681.5,264,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:07,About,WiFi,251.8,84,0,735.06,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:09,Homepage,4G,2266.7,280,0,750.79,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:18,Products,3G,8512.5,648,173,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:27,About,3G,8391.6,644,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:28,About,WiFi,271,104,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:29,Products,WiFi,470.3,92,20.1,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:38,Products,3G,8556.9,660,178.1,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:39,Homepage,WiFi,314.7,160,0,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:40,About,WiFi,306.5,100,0,735.08,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:49,Products,3G,8533.1,644,177.3,743.85,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:50,About,WiFi,254.1,120,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:52:59,Products,3G,8506.5,632,162,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:08,Products,3G,8512,652,192.3,743.85,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:09,About,WiFi,388.9,136,0,735.06,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:18,About,3G,8409.9,660,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:27,Products,3G,8590.3,680,164.1,743.84,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:37,Homepage,3G,8956,696,145,753.36,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:47,Homepage,3G,8947.2,668,137.6,753.38,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:49,Homepage,4G,2309.6,344,0,750.8,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:50,About,WiFi,318.5,136,0,735.07,client_cpu_block,bad_use_effect,1
2026-02-18 09:53:51,Products,WiFi,258.9,88,7.4,743.84,client_cpu_block,bad_use_effect,1
